"track_id"	"time"	"bpm"	"speed"	"elev"	"s"	"track_id_seq"
"1"	1	1800	143.5	26.0348412660306	149.217958598164	240	1
"2"	1	1830	131.8125	22.5158784884064	149.995	240	1
"3"	1	1860	134.11328125	21.0445006184751	152.841690340909	240	1
"4"	1	1890	139.75	22.0493838997195	155.750967881944	240	1
"5"	1	1920	140.859375	19.9912921865902	156.377556358381	240	1
"6"	1	1950	136.216517857143	26.30114268463	155.297718023256	240	1
"7"	1	1980	132.75	28.8701454711567	151.916777801844	240	1
"8"	1	2010	131.25	25.6704743756395	151.602896979795	240	1
"9"	1	2040	132.9296875	25.1268836761549	150.955291803965	240	1
"10"	1	2070	132	23.3363604194474	152.443681727905	240	1
"11"	1	2100	137.333333333333	17.0749415393639	155.970211640212	240	1
"12"	1	2130	139.875771604938	15.5664835037759	162.959670868347	240	1
"13"	1	2160	144.532738095238	14.9650957162228	169.265870891858	240	1
"14"	1	2190	150	22.3554684020168	171.371712898752	240	1
"15"	1	2220	139.546875	24.1047669468671	169.349496968712	240	1
"16"	1	2250	123.477090909091	39.5681500634722	159.081793079179	240	1
"17"	1	2280	96.4386219226402	22.9798032408706	158.791136059845	240	1
"18"	1	2310	84	18.3038664310224	157.93	240	1
"19"	1	2340	71.2008928571429	22.5759221145866	159.475427492098	240	1
"20"	1	2370	128.703125	23.3008919164094	162.772251294598	240	1
"21"	1	2400	128.234375	18.8811945493545	166.687157707911	240	1
"22"	1	2430	140.4609375	20.5133387114661	170.064387096774	240	1
"23"	1	2460	145.732142857143	26.505966890794	169.125415612348	240	1
"24"	1	2490	136.59375	22.0534525903	170.725208333333	240	1
"25"	1	2520	134.5	20.2357638036482	172.511739309211	240	1
"26"	1	2550	139.589285714286	13.7678503436536	181.510532856656	240	1
"27"	1	2580	151.5	13.7739834771968	189.533081761006	240	1
"28"	1	2610	155.525	13.8953289507321	196.739103896104	240	1
"29"	1	2640	154	12.8377236846072	202.20196875	240	1
"30"	1	2670	155.15625	13.1817994490145	208.7555625	240	1
"31"	1	2700	155.042438271605	12.5372515884246	217.448414186392	240	1
"32"	1	2730	158.762235449735	12.089246045508	226.252644260282	240	1
"33"	1	2760	164	12.2171891533666	235.764248120301	240	1
"34"	1	2790	165.625	11.2854004254848	243.82587890625	240	1
"35"	1	2820	164	11.2816008935485	251.928153638015	240	1
"36"	1	2850	162.339425223214	11.0676519911609	258.751553154583	240	1
"37"	1	2880	159.9267578125	11.5312835937234	265.825942143794	240	1
"38"	1	2910	157	11.9440411225849	272.239583737864	240	1
"39"	1	2940	155.720679012346	12.5366588483336	276.86668504902	240	1
"40"	1	2970	152.166666666667	12.9507234960012	283.848692883546	240	1
"41"	1	3000	154.939526847422	12.9357769553862	290.724794189221	240	1
"42"	1	3030	157.125	10.1068778640456	299.423548977092	240	1
"43"	1	3060	161.718927556818	11.0155180188816	309.226534480055	240	1
"44"	1	3090	166.25	10.7258340200023	318.395139805511	240	1
"45"	1	3120	168.068188951664	11.7640582599684	326.854401441739	240	1
"46"	1	3150	168.849382716049	11.6786402165608	333.143981481481	240	1
"47"	1	3180	165	11.4014843434579	338.95	240	1
"48"	1	3210	163.279464285714	12.3319811952887	347.480502796838	240	1
"49"	1	3240	160	15.4366462187582	352.48	240	1
"50"	1	3270	159	13.2828335954324	358.12	240	1
"51"	1	3300	155.666666666667	13.0237410634307	365.869253725225	240	1
"52"	1	3330	158.864406779661	12.305750188188	371.826861123722	240	1
"53"	1	3360	162.089900947459	12.5659766891131	379.895671780481	240	1
"54"	1	3390	162.474570090588	8.99521773101019	385.182653541506	240	1
"55"	1	3420	161.862577639752	11.7613371101212	392.817889423077	240	1
"56"	1	3450	160.42962962963	12.3186429916281	399.806723832434	240	1
"57"	1	3480	165.047423245614	12.2083295056021	407.125889892578	240	1
"58"	1	3510	162.79296875	11.9358141631957	415.00151875	240	1
"59"	1	3540	167	12.1924875662536	422.370691014618	240	1
"60"	1	3570	169.75	11.0058306043688	430.083210867117	240	1
"61"	1	3600	165.295454545455	10.9584591903903	436.76355345912	240	1
"62"	1	3630	166.172468085106	10.4862620200441	443.582885441235	240	1
"63"	1	3660	154.263392857143	11.8373455052994	452.206611020193	240	1
"64"	1	3690	152.5	13.5940022223891	460.576897491675	240	1
"65"	1	3720	161.949266194332	13.0856362635076	468.84125	240	1
"66"	1	3750	163.875	11.8077225348944	475.073439897507	240	1
"67"	1	3780	162.011067708333	11.2357529488951	482.414549479167	240	1
"68"	1	3810	164	11.7276522550665	488.920326236264	240	1
"69"	1	3840	164	11.1538100151252	496.695529249238	240	1
"70"	1	3870	166.573270013569	11.8823879472153	503.941711644862	240	1
"71"	1	3900	168.02581369248	10.5513746858348	511.377836483702	240	1
"72"	1	3930	167.25	12.295368116503	518.364136031455	240	1
"73"	1	3960	165.066061253561	12.5944917142408	525.233174563172	240	1
"74"	1	3990	164.833333333333	13.4721080838423	530.050763803929	240	1
"75"	1	4020	162.833333333333	13.4193623414972	536.255720689655	240	1
"76"	1	4050	164	12.619900745415	543.07	240	1
"77"	1	4080	160	11.7301621438459	548.419364754098	240	1
"78"	1	4110	159.625	11.0948418519189	554.558176613218	240	1
"79"	1	4140	156.931396484375	11.9889286566356	560.342705497093	240	1
"80"	1	4170	159.112103174603	11.7746414379012	566.383633480492	240	1
"81"	1	4200	160	13.6693014509872	572.804600178768	240	1
"82"	1	4230	158	13.1814015457829	578.355019752534	240	1
"83"	1	4260	158.833333333333	13.7955896698127	583.669977578347	240	1
"84"	1	4290	157	13.2901634920995	590.15454950742	240	1
